Name,City,Raiting,Coordinates,Geometry
Starbucks,Bothell,2.5,"[-122.215596, 47.790007]","{'Type': 'Point', 'coordinates': [-122.215596, 47.790007]}"
Starbucks,Bothell,2.0,"[-122.211818, 47.797616]","{'Type': 'Point', 'coordinates': [-122.211818, 47.797616]}"
Starbucks,Bothell,1.0,"[-122.220698, 47.778784]","{'Type': 'Point', 'coordinates': [-122.220698, 47.778784]}"
Starbucks,Bothell,4.0,"[-122.205774175364, 47.809242]","{'Type': 'Point', 'coordinates': [-122.205774175364, 47.809242]}"
Starbucks,Bothell,3.0,"[-122.211269, 47.76579]","{'Type': 'Point', 'coordinates': [-122.211269, 47.76579]}"
Starbucks,Bothell,2.5,"[-122.2115511, 47.76529499]","{'Type': 'Point', 'coordinates': [-122.2115511, 47.76529499]}"
Starbucks,Bothell,3.5,"[-122.191356, 47.767065]","{'Type': 'Point', 'coordinates': [-122.191356, 47.767065]}"
Starbucks,Bothell,3.0,"[-122.176262, 47.761317]","{'Type': 'Point', 'coordinates': [-122.176262, 47.761317]}"
Starbucks,Kenmore,3.0,"[-122.236806, 47.756647]","{'Type': 'Point', 'coordinates': [-122.236806, 47.756647]}"
Starbucks,Kenmore,2.5,"[-122.24773, 47.759026]","{'Type': 'Point', 'coordinates': [-122.24773, 47.759026]}"
Starbucks,Woodinville,1.0,"[-122.154106, 47.758484]","{'Type': 'Point', 'coordinates': [-122.154106, 47.758484]}"
Starbucks,Woodinville,3.5,"[-122.155406, 47.754888]","{'Type': 'Point', 'coordinates': [-122.155406, 47.754888]}"
Starbucks,Woodinville,4.0,"[-122.152046, 47.753407]","{'Type': 'Point', 'coordinates': [-122.152046, 47.753407]}"
Starbucks,Lynnwood,2.5,"[-122.269798, 47.822017]","{'Type': 'Point', 'coordinates': [-122.269798, 47.822017]}"
Starbucks,Lynnwood,3.5,"[-122.271765, 47.823919]","{'Type': 'Point', 'coordinates': [-122.271765, 47.823919]}"
Starbucks,Mountlake Terrace,3.0,"[-122.291744, 47.791185]","{'Type': 'Point', 'coordinates': [-122.291744, 47.791185]}"
Starbucks,Mountlake Terrace,1.0,"[-122.29061, 47.807604]","{'Type': 'Point', 'coordinates': [-122.29061, 47.807604]}"
Starbucks,Lynnwood,4.0,"[-122.271346, 47.83015]","{'Type': 'Point', 'coordinates': [-122.271346, 47.83015]}"
Starbucks,Lynnwood,3.0,"[-122.271343, 47.830151]","{'Type': 'Point', 'coordinates': [-122.271343, 47.830151]}"
Starbucks,Mill Creek,3.0,"[-122.219393, 47.848561]","{'Type': 'Point', 'coordinates': [-122.219393, 47.848561]}"
Starbucks,Lynnwood,3.0,"[-122.274672, 47.828294]","{'Type': 'Point', 'coordinates': [-122.274672, 47.828294]}"
Starbucks,Mill Creek,2.5,"[-122.219076, 47.849866]","{'Type': 'Point', 'coordinates': [-122.219076, 47.849866]}"
Starbucks,Mill Creek,5.0,"[-122.219823, 47.850851]","{'Type': 'Point', 'coordinates': [-122.219823, 47.850851]}"
Starbucks,Kirkland,2.5,"[-122.174389, 47.732317]","{'Type': 'Point', 'coordinates': [-122.174389, 47.732317]}"
Starbucks,Lake Forest,3.0,"[-122.280233, 47.752392]","{'Type': 'Point', 'coordinates': [-122.280233, 47.752392]}"
Starbucks,Lynnwood,3.0,"[-122.287974, 47.820631]","{'Type': 'Point', 'coordinates': [-122.287974, 47.820631]}"
Starbucks,Bothell,3.0,"[-122.243058, 47.7289521]","{'Type': 'Point', 'coordinates': [-122.243058, 47.7289521]}"
Starbucks,Lynnwood,2.5,"[-122.252428, 47.849426]","{'Type': 'Point', 'coordinates': [-122.252428, 47.849426]}"
Starbucks,Kirkland,3.0,"[-122.206135, 47.723361]","{'Type': 'Point', 'coordinates': [-122.206135, 47.723361]}"
Starbucks,Lynnwood,1.5,"[-122.295508, 47.821737]","{'Type': 'Point', 'coordinates': [-122.295508, 47.821737]}"
Starbucks,Mill Creek,3.0,"[-122.220295, 47.856952]","{'Type': 'Point', 'coordinates': [-122.220295, 47.856952]}"
Starbucks,Kirkland,2.5,"[-122.208298, 47.719981]","{'Type': 'Point', 'coordinates': [-122.208298, 47.719981]}"
Starbucks,Shoreline,3.5,"[-122.310409, 47.775952]","{'Type': 'Point', 'coordinates': [-122.310409, 47.775952]}"
Starbucks,Lynnwood,3.5,"[-122.27213, 47.84963]","{'Type': 'Point', 'coordinates': [-122.27213, 47.84963]}"
Starbucks,Snohomish,2.5,"[-122.12389, 47.838806]","{'Type': 'Point', 'coordinates': [-122.12389, 47.838806]}"
Starbucks,Lynnwood,2.0,"[-122.273094, 47.849602]","{'Type': 'Point', 'coordinates': [-122.273094, 47.849602]}"
Starbucks,Lynnwood,4.0,"[-122.297113, 47.839712]","{'Type': 'Point', 'coordinates': [-122.297113, 47.839712]}"
Starbucks,Kirkland,3.0,"[-122.1911906, 47.712154]","{'Type': 'Point', 'coordinates': [-122.1911906, 47.712154]}"
Starbucks,Lynnwood,3.0,"[-122.3155558, 47.8206482]","{'Type': 'Point', 'coordinates': [-122.3155558, 47.8206482]}"
Starbucks,Lynnwood,4.0,"[-122.317516, 47.817802]","{'Type': 'Point', 'coordinates': [-122.317516, 47.817802]}"
Starbucks,Kirkland,2.5,"[-122.1890087, 47.711567]","{'Type': 'Point', 'coordinates': [-122.1890087, 47.711567]}"
Starbucks,Seattle,1.0,"[-122.313044, 47.7545]","{'Type': 'Point', 'coordinates': [-122.313044, 47.7545]}"
Starbucks,Lynnwood,2.5,"[-122.317361, 47.820881]","{'Type': 'Point', 'coordinates': [-122.317361, 47.820881]}"
Starbucks,Lynnwood,1.0,"[-122.316561, 47.822151]","{'Type': 'Point', 'coordinates': [-122.316561, 47.822151]}"
Starbucks,Seattle,3.0,"[-122.291939, 47.732929]","{'Type': 'Point', 'coordinates': [-122.291939, 47.732929]}"
Starbucks,Lynnwood,3.5,"[-122.29419, 47.846083]","{'Type': 'Point', 'coordinates': [-122.29419, 47.846083]}"
Starbucks,Kirkland,3.5,"[-122.211793, 47.706623]","{'Type': 'Point', 'coordinates': [-122.211793, 47.706623]}"
Starbucks,Kirkland,3.0,"[-122.183745, 47.708038]","{'Type': 'Point', 'coordinates': [-122.183745, 47.708038]}"
Starbucks,Edmonds,3.0,"[-122.332091, 47.799897]","{'Type': 'Point', 'coordinates': [-122.332091, 47.799897]}"
Starbucks,Edmonds,5.0,"[-122.334401, 47.80328]","{'Type': 'Point', 'coordinates': [-122.334401, 47.80328]}"
